ground,date,winner,host_country,home_team,away_team,neutral
Manchester,"Jul 17, 1978",England,England,England,New Zealand,False
Quetta,"Oct 1, 1978",India,Pakistan,Pakistan,India,False
Sialkot,"Oct 13, 1978",Pakistan,Pakistan,Pakistan,India,False
Melbourne,"Jan 24, 1979",England,Australia,Australia,England,False
Melbourne,"Feb 4, 1979",Australia,Australia,Australia,England,False
Melbourne,"Feb 7, 1979",Australia,Australia,Australia,England,False
Birmingham,"Jun 9, 1979",West Indies,England,India,West Indies,True
Nottingham,"Jun 9, 1979",New Zealand,England,New Zealand,Sri Lanka,True
Lord's,"Jun 9, 1979",England,England,England,Australia,False
Leeds,"Jun 9, 1979",Pakistan,England,Canada,Pakistan,True
Leeds,"Jun 13, 1979",New Zealand,England,India,New Zealand,True
Nottingham,"Jun 13-14, 1979",Pakistan,England,Australia,Pakistan,True
Manchester,"Jun 13-14, 1979",England,England,England,Canada,False
Manchester,"Jun 16-18, 1979",Sri Lanka,England,India,Sri Lanka,True
Nottingham,"Jun 16, 1979",West Indies,England,New Zealand,West Indies,True
Birmingham,"Jun 16, 1979",Australia,England,Australia,Canada,True
Leeds,"Jun 16, 1979",England,England,England,Pakistan,False
Manchester,"Jun 20, 1979",England,England,England,New Zealand,False
The Oval,"Jun 20, 1979",West Indies,England,Pakistan,West Indies,True
Lord's,"Jun 23, 1979",West Indies,England,England,West Indies,False
Sydney,"Nov 27, 1979",Australia,Australia,Australia,West Indies,False
Sydney,"Nov 28, 1979",England,Australia,England,West Indies,True
Melbourne,"Dec 8, 1979",England,Australia,Australia,England,False
Melbourne,"Dec 9, 1979",West Indies,Australia,Australia,West Indies,False
Sydney,"Dec 11, 1979",England,Australia,Australia,England,False
Sydney,"Dec 21, 1979",Australia,Australia,Australia,West Indies,False
Brisbane,"Dec 23, 1979",West Indies,Australia,England,West Indies,True
Sydney,"Dec 26, 1979",England,Australia,Australia,England,False
Sydney,"Jan 14, 1980",England,Australia,Australia,England,False
Adelaide,"Jan 16, 1980",West Indies,Australia,England,West Indies,True
Sydney,"Jan 18, 1980",Australia,Australia,Australia,West Indies,False
Melbourne,"Jan 20, 1980",West Indies,Australia,England,West Indies,True
Sydney,"Jan 22, 1980",West Indies,Australia,England,West Indies,True
Christchurch,"Feb 6, 1980",New Zealand,New Zealand,New Zealand,West Indies,False
Leeds,"May 28-29, 1980",West Indies,England,England,West Indies,False
Lord's,"May 30, 1980",England,England,England,West Indies,False
The Oval,"Aug 20, 1980",England,England,England,Australia,False
Birmingham,"Aug 22, 1980",England,England,England,Australia,False
Karachi,"Nov 21, 1980",West Indies,Pakistan,Pakistan,West Indies,False
Adelaide,"Nov 23, 1980",New Zealand,Australia,Australia,New Zealand,False
Sydney,"Nov 25, 1980",Australia,Australia,Australia,New Zealand,False
Sialkot,"Dec 5, 1980",West Indies,Pakistan,Pakistan,West Indies,False
Melbourne,"Dec 6, 1980",India,Australia,Australia,India,False
Melbourne,"Dec 7, 1980",Australia,Australia,Australia,New Zealand,False
Perth,"Dec 9, 1980",India,Australia,India,New Zealand,True
Sydney,"Dec 18, 1980",Australia,Australia,Australia,India,False
Lahore,"Dec 19, 1980",West Indies,Pakistan,Pakistan,West Indies,False
Brisbane,"Dec 21, 1980",New Zealand,Australia,India,New Zealand,True
Adelaide,"Dec 23, 1980",India,Australia,India,New Zealand,True
Sydney,"Jan 8, 1981",Australia,Australia,Australia,India,False
Melbourne,"Jan 10, 1981",New Zealand,Australia,India,New Zealand,True
Melbourne,"Jan 11, 1981",Australia,Australia,Australia,India,False
Sydney,"Jan 13, 1981",New Zealand,Australia,Australia,New Zealand,False
Sydney,"Jan 15, 1981",Australia,Australia,Australia,India,False
Brisbane,"Jan 18, 1981",New Zealand,Australia,India,New Zealand,True
Sydney,"Jan 29, 1981",New Zealand,Australia,Australia,New Zealand,False
Melbourne,"Jan 31, 1981",Australia,Australia,Australia,New Zealand,False
Melbourne,"Feb 1, 1981",Australia,Australia,Australia,New Zealand,False
Sydney,"Feb 3, 1981",Australia,Australia,Australia,New Zealand,False
Kingstown,"Feb 4, 1981",West Indies,West Indies,West Indies,England,False
Auckland,"Feb 14, 1981",New Zealand,New Zealand,New Zealand,India,False
Hamilton,"Feb 15, 1981",New Zealand,New Zealand,New Zealand,India,False
Albion,"Feb 26, 1981",West Indies,West Indies,West Indies,England,False
Lord's,"Jun 4, 1981",England,England,England,Australia,False
Birmingham,"Jun 6, 1981",Australia,England,England,Australia,False
Leeds,"Jun 8, 1981",Australia,England,England,Australia,False
Melbourne,"Nov 21, 1981",West Indies,Australia,Pakistan,West Indies,True
Melbourne,"Nov 22, 1981",Pakistan,Australia,Australia,Pakistan,False
Sydney,"Nov 24, 1981",Australia,Australia,Australia,West Indies,False
Ahmedabad,"Nov 25, 1981",England,India,India,England,False
Adelaide,"Dec 5, 1981",Pakistan,Australia,Pakistan,West Indies,True
Adelaide,"Dec 6, 1981",Australia,Australia,Australia,Pakistan,False
Sydney,"Dec 17, 1981",Pakistan,Australia,Australia,Pakistan,False
Perth,"Dec 19, 1981",West Indies,Australia,Pakistan,West Indies,True
Perth,"Dec 20, 1981",West Indies,Australia,Australia,West Indies,False
Jalandhar,"Dec 20, 1981",India,India,India,England,False
Melbourne,"Jan 9, 1982",Pakistan,Australia,Australia,Pakistan,False
Melbourne,"Jan 10, 1982",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 12, 1982",West Indies,Australia,Pakistan,West Indies,True
Sydney,"Jan 14, 1982",Australia,Australia,Australia,Pakistan,False
Brisbane,"Jan 16, 1982",West Indies,Australia,Pakistan,West Indies,True
Brisbane,"Jan 17, 1982",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 19, 1982",Australia,Australia,Australia,West Indies,False
Melbourne,"Jan 23, 1982",West Indies,Australia,Australia,West Indies,False
Melbourne,"Jan 24, 1982",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 26, 1982",Australia,Australia,Australia,West Indies,False
Sydney,"Jan 27, 1982",West Indies,Australia,Australia,West Indies,False
Cuttack,"Jan 27, 1982",India,India,India,England,False
Auckland,"Feb 13, 1982",New Zealand,New Zealand,New Zealand,Australia,False
Colombo,"Feb 13, 1982",England,Sri Lanka,Sri Lanka,England,False
Colombo,"Feb 14, 1982",Sri Lanka,Sri Lanka,Sri Lanka,England,False
Dunedin,"Feb 17, 1982",Australia,New Zealand,New Zealand,Australia,False
Wellington,"Feb 20, 1982",Australia,New Zealand,New Zealand,Australia,False
Karachi,"Mar 12, 1982",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Lahore,"Mar 29, 1982",Sri Lanka,Pakistan,Pakistan,Sri Lanka,False
Karachi,"Mar 31, 1982",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Leeds,"Jun 2, 1982",England,England,England,India,False
The Oval,"Jun 4, 1982",England,England,England,India,False
Nottingham,"Jul 17, 1982",England,England,England,Pakistan,False
Manchester,"Jul 19, 1982",England,England,England,Pakistan,False
Amritsar,"Sep 12, 1982",India,India,India,Sri Lanka,False
Delhi,"Sep 15, 1982",India,India,India,Sri Lanka,False
Hyderabad,"Sep 20, 1982",Pakistan,India,Pakistan,Australia,True
Bengaluru,"Sep 26, 1982",India,India,India,Sri Lanka,False
Lahore,"Oct 8, 1982",Pakistan,Pakistan,Pakistan,Australia,False
Gujranwala,"Dec 3, 1982",Pakistan,Pakistan,Pakistan,India,False
Multan,"Dec 17, 1982",Pakistan,Pakistan,Pakistan,India,False
Lahore,"Dec 31, 1982",India,Pakistan,Pakistan,India,False
Melbourne,"Jan 9, 1983",Australia,Australia,Australia,New Zealand,False
Sydney,"Jan 11, 1983",Australia,Australia,Australia,England,False
Melbourne,"Jan 13, 1983",New Zealand,Australia,England,New Zealand,True
Brisbane,"Jan 15, 1983",England,Australia,England,New Zealand,True
Brisbane,"Jan 16, 1983",Australia,Australia,Australia,England,False
Sydney,"Jan 18, 1983",New Zealand,Australia,Australia,New Zealand,False
Sydney,"Jan 20, 1983",England,Australia,England,New Zealand,True
Karachi,"Jan 21, 1983",Pakistan,Pakistan,Pakistan,India,False
Melbourne,"Jan 22, 1983",New Zealand,Australia,Australia,New Zealand,False
Melbourne,"Jan 23, 1983",Australia,Australia,Australia,England,False
Sydney,"Jan 26, 1983",England,Australia,Australia,England,False
Adelaide,"Jan 29, 1983",New Zealand,Australia,England,New Zealand,True
Adelaide,"Jan 30, 1983",England,Australia,Australia,England,False
Adelaide,"Jan 31, 1983",New Zealand,Australia,Australia,New Zealand,False
Perth,"Feb 5, 1983",New Zealand,Australia,England,New Zealand,True
Perth,"Feb 6, 1983",Australia,Australia,Australia,New Zealand,False
Sydney,"Feb 9, 1983",Australia,Australia,Australia,New Zealand,False
Melbourne,"Feb 13, 1983",Australia,Australia,Australia,New Zealand,False
Auckland,"Feb 19, 1983",New Zealand,New Zealand,New Zealand,England,False
Wellington,"Feb 23, 1983",New Zealand,New Zealand,New Zealand,England,False
Christchurch,"Feb 26, 1983",New Zealand,New Zealand,New Zealand,England,False
Dunedin,"Mar 2, 1983",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Port of Spain,"Mar 9, 1983",West Indies,West Indies,West Indies,India,False
Sydney,"Mar 17, 1983",New Zealand,Australia,Australia,New Zealand,False
Napier,"Mar 19, 1983",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Auckland,"Mar 20, 1983",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Albion,"Mar 29, 1983",India,West Indies,West Indies,India,False
St George's,"Apr 7, 1983",West Indies,West Indies,West Indies,India,False
Colombo,"Apr 13, 1983",Sri Lanka,Sri Lanka,Sri Lanka,Australia,False
Colombo,"Apr 16, 1983",Sri Lanka,Sri Lanka,Sri Lanka,Australia,False
The Oval,"Jun 9, 1983",England,England,England,New Zealand,False
Swansea,"Jun 9, 1983",Pakistan,England,Pakistan,Sri Lanka,True
Nottingham,"Jun 9, 1983",Zimbabwe,England,Australia,Zimbabwe,True
Manchester,"Jun 9-10, 1983",India,England,India,West Indies,True
Taunton,"Jun 11, 1983",England,England,England,Sri Lanka,False
Birmingham,"Jun 11-12, 1983",New Zealand,England,New Zealand,Pakistan,True
Leeds,"Jun 11-12, 1983",West Indies,England,Australia,West Indies,True
Leicester,"Jun 11, 1983",India,England,India,Zimbabwe,True
Lord's,"Jun 13, 1983",England,England,England,Pakistan,False
Bristol,"Jun 13, 1983",New Zealand,England,New Zealand,Sri Lanka,True
Nottingham,"Jun 13, 1983",Australia,England,Australia,India,True
Worcester,"Jun 13, 1983",West Indies,England,West Indies,Zimbabwe,True
Birmingham,"Jun 15, 1983",New Zealand,England,England,New Zealand,False
The Oval,"Jun 15, 1983",West Indies,England,India,West Indies,True
Leeds,"Jun 16, 1983",Pakistan,England,Pakistan,Sri Lanka,True
Southampton,"Jun 16, 1983",Australia,England,Australia,Zimbabwe,True
Manchester,"Jun 18, 1983",England,England,England,Pakistan,False
Derby,"Jun 18, 1983",Sri Lanka,England,New Zealand,Sri Lanka,True
Lord's,"Jun 18, 1983",West Indies,England,Australia,West Indies,True
Tunbridge Wells,"Jun 18, 1983",India,England,India,Zimbabwe,True
Leeds,"Jun 20, 1983",England,England,England,Sri Lanka,False
Nottingham,"Jun 20, 1983",Pakistan,England,New Zealand,Pakistan,True
Chelmsford,"Jun 20, 1983",India,England,Australia,India,True
Birmingham,"Jun 20, 1983",West Indies,England,West Indies,Zimbabwe,True
Manchester,"Jun 22, 1983",India,England,England,India,False
The Oval,"Jun 22, 1983",West Indies,England,Pakistan,West Indies,True
Lord's,"Jun 25, 1983",India,England,India,West Indies,True
Hyderabad,"Sep 10, 1983",India,India,India,Pakistan,False
Jaipur,"Oct 2, 1983",India,India,India,Pakistan,False
Srinagar,"Oct 13, 1983",West Indies,India,India,West Indies,False
Vadodara,"Nov 9, 1983",West Indies,India,India,West Indies,False
Indore,"Dec 1, 1983",West Indies,India,India,West Indies,False
Jamshedpur,"Dec 7, 1983",West Indies,India,India,West Indies,False
Guwahati,"Dec 17, 1983",West Indies,India,India,West Indies,False
Melbourne,"Jan 8, 1984",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 10, 1984",Australia,Australia,Australia,Pakistan,False
Melbourne,"Jan 12, 1984",Pakistan,Australia,Pakistan,West Indies,True
Brisbane,"Jan 14, 1984",West Indies,Australia,Pakistan,West Indies,True
Sydney,"Jan 17, 1984",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 19, 1984",West Indies,Australia,Pakistan,West Indies,True
Melbourne,"Jan 21, 1984",Australia,Australia,Australia,Pakistan,False
Melbourne,"Jan 22, 1984",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 25, 1984",Australia,Australia,Australia,Pakistan,False
Adelaide,"Jan 28, 1984",West Indies,Australia,Pakistan,West Indies,True
Adelaide,"Jan 29, 1984",West Indies,Australia,Australia,West Indies,False
Adelaide,"Jan 30, 1984",Australia,Australia,Australia,Pakistan,False
Perth,"Feb 4, 1984",West Indies,Australia,Pakistan,West Indies,True
Perth,"Feb 5, 1984",Australia,Australia,Australia,West Indies,False
Sydney,"Feb 8, 1984",West Indies,Australia,Australia,West Indies,False
Melbourne,"Feb 12, 1984",West Indies,Australia,Australia,West Indies,False
Christchurch,"Feb 18, 1984",England,New Zealand,New Zealand,England,False
Wellington,"Feb 22, 1984",England,New Zealand,New Zealand,England,False
Auckland,"Feb 25, 1984",New Zealand,New Zealand,New Zealand,England,False
Albion,"Feb 29, 1984",West Indies,West Indies,West Indies,Australia,False
Colombo,"Mar 3, 1984",New Zealand,Sri Lanka,Sri Lanka,New Zealand,False
Lahore,"Mar 9, 1984",Pakistan,Pakistan,Pakistan,England,False
Port of Spain,"Mar 14, 1984",Australia,West Indies,West Indies,Australia,False
Karachi,"Mar 26, 1984",England,Pakistan,Pakistan,England,False
Moratuwa,"Mar 31, 1984",Sri Lanka,Sri Lanka,Sri Lanka,New Zealand,False
Colombo,"Apr 1, 1984",New Zealand,Sri Lanka,Sri Lanka,New Zealand,False
Sharjah,"Apr 6, 1984",Sri Lanka,U.A.E.,Pakistan,Sri Lanka,True
Sharjah,"Apr 8, 1984",India,U.A.E.,India,Sri Lanka,True
Sharjah,"Apr 13, 1984",India,U.A.E.,India,Pakistan,True
Castries,"Apr 19, 1984",West Indies,West Indies,West Indies,Australia,False
Kingston,"Apr 26, 1984",West Indies,West Indies,West Indies,Australia,False
Manchester,"May 31, 1984",West Indies,England,England,West Indies,False
Nottingham,"Jun 2, 1984",England,England,England,West Indies,False
Lord's,"Jun 4, 1984",West Indies,England,England,West Indies,False
Ahmedabad,"Oct 5, 1984",Australia,India,India,Australia,False
Indore,"Oct 6, 1984",Australia,India,India,Australia,False
Quetta,"Oct 12, 1984",Pakistan,Pakistan,Pakistan,India,False
Colombo,"Nov 3, 1984",Sri Lanka,Sri Lanka,Sri Lanka,New Zealand,False
Moratuwa,"Nov 4, 1984",New Zealand,Sri Lanka,Sri Lanka,New Zealand,False
Peshawar,"Nov 12, 1984",Pakistan,Pakistan,Pakistan,New Zealand,False
Faisalabad,"Nov 23, 1984",Pakistan,Pakistan,Pakistan,New Zealand,False
Sialkot,"Dec 2, 1984",New Zealand,Pakistan,Pakistan,New Zealand,False
Pune,"Dec 5, 1984",England,India,India,England,False
Multan,"Dec 7, 1984",Pakistan,Pakistan,Pakistan,New Zealand,False
Cuttack,"Dec 27, 1984",England,India,India,England,False
Melbourne,"Jan 6, 1985",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 8, 1985",Australia,Australia,Australia,Sri Lanka,False
Hobart,"Jan 10, 1985",West Indies,Australia,Sri Lanka,West Indies,True
Napier,"Jan 12, 1985",New Zealand,New Zealand,New Zealand,Pakistan,False
Brisbane,"Jan 12, 1985",West Indies,Australia,Sri Lanka,West Indies,True
Brisbane,"Jan 13, 1985",West Indies,Australia,Australia,West Indies,False
Hamilton,"Jan 15, 1985",New Zealand,New Zealand,New Zealand,Pakistan,False
Sydney,"Jan 15, 1985",West Indies,Australia,Australia,West Indies,False
Sydney,"Jan 17, 1985",West Indies,Australia,Sri Lanka,West Indies,True
Melbourne,"Jan 19, 1985",Sri Lanka,Australia,Australia,Sri Lanka,False
Melbourne,"Jan 20, 1985",West Indies,Australia,Australia,West Indies,False
Bengaluru,"Jan 20, 1985",England,India,India,England,False
Sydney,"Jan 23, 1985",Australia,Australia,Australia,Sri Lanka,False
Nagpur,"Jan 23, 1985",India,India,India,England,False
Adelaide,"Jan 26, 1985",West Indies,Australia,Sri Lanka,West Indies,True
Adelaide,"Jan 27, 1985",West Indies,Australia,Australia,West Indies,False
Chandigarh,"Jan 27, 1985",England,India,India,England,False
Adelaide,"Jan 28, 1985",Australia,Australia,Australia,Sri Lanka,False
Perth,"Feb 2, 1985",West Indies,Australia,Sri Lanka,West Indies,True
Perth,"Feb 3, 1985",Australia,Australia,Australia,Sri Lanka,False
Christchurch,"Feb 6, 1985",New Zealand,New Zealand,New Zealand,Pakistan,False
Sydney,"Feb 6, 1985",Australia,Australia,Australia,West Indies,False
Melbourne,"Feb 10, 1985",West Indies,Australia,Australia,West Indies,False
Sydney,"Feb 12, 1985",West Indies,Australia,Australia,West Indies,False
Melbourne,"Feb 17, 1985",Australia,Australia,Australia,England,False
Melbourne,"Feb 20, 1985",India,Australia,India,Pakistan,True
Melbourne,"Feb 23, 1985",New Zealand,Australia,New Zealand,Sri Lanka,True
Melbourne,"Feb 24, 1985",Pakistan,Australia,Australia,Pakistan,False
Sydney,"Feb 26, 1985",India,Australia,England,India,True
Melbourne,"Feb 27, 1985",West Indies,Australia,Sri Lanka,West Indies,True
Melbourne,"Mar 2, 1985",Pakistan,Australia,England,Pakistan,True
Melbourne,"Mar 3, 1985",India,Australia,Australia,India,False
Sydney,"Mar 5, 1985",India,Australia,India,New Zealand,True
Melbourne,"Mar 6, 1985",Pakistan,Australia,Pakistan,West Indies,True
Sydney,"Mar 9, 1985",West Indies,Australia,New Zealand,West Indies,True
Melbourne,"Mar 10, 1985",India,Australia,India,Pakistan,True
St John's,"Mar 20, 1985",West Indies,West Indies,West Indies,New Zealand,False
Sharjah,"Mar 22, 1985",India,U.A.E.,India,Pakistan,True
Sharjah,"Mar 24, 1985",Australia,U.A.E.,Australia,England,True
Sharjah,"Mar 26, 1985",Pakistan,U.A.E.,England,Pakistan,True
Port of Spain,"Mar 27, 1985",West Indies,West Indies,West Indies,New Zealand,False
Sharjah,"Mar 29, 1985",India,U.A.E.,Australia,India,True
Albion,"Apr 14, 1985",West Indies,West Indies,West Indies,New Zealand,False
Port of Spain,"Apr 17, 1985",West Indies,West Indies,West Indies,New Zealand,False
Bridgetown,"Apr 23, 1985",West Indies,West Indies,West Indies,New Zealand,False
Manchester,"May 30, 1985",Australia,England,England,Australia,False
Birmingham,"Jun 1, 1985",Australia,England,England,Australia,False
Lord's,"Jun 3, 1985",England,England,England,Australia,False
Colombo,"Aug 25, 1985",India,Sri Lanka,Sri Lanka,India,False
Colombo,"Sep 21, 1985",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Peshawar,"Oct 13, 1985",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Gujranwala,"Oct 23, 1985",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Lahore,"Oct 25, 1985",Pakistan,Pakistan,Pakistan,Sri Lanka,False
Hyderabad,"Nov 3, 1985",Pakistan,India,Pakistan,Sri Lanka,True
Sharjah,"Nov 15, 1985",West Indies,U.A.E.,Pakistan,West Indies,True
Sharjah,"Nov 17, 1985",Pakistan,U.A.E.,India,Pakistan,True
Sharjah,"Nov 22, 1985",West Indies,U.A.E.,India,West Indies,True
Gujranwala,"Nov 27, 1985",West Indies,Pakistan,Pakistan,West Indies,False
Lahore,"Nov 29, 1985",Pakistan,Pakistan,Pakistan,West Indies,False
Peshawar,"Dec 2, 1985",West Indies,Pakistan,Pakistan,West Indies,False
Rawalpindi,"Dec 4, 1985",Pakistan,Pakistan,Pakistan,West Indies,False
Karachi,"Dec 6, 1985",West Indies,Pakistan,Pakistan,West Indies,False
Brisbane,"Jan 11, 1986",India,Australia,India,New Zealand,True
Brisbane,"Jan 12, 1986",Australia,Australia,Australia,India,False
Sydney,"Jan 14, 1986",Australia,Australia,Australia,New Zealand,False
Melbourne,"Jan 16, 1986",India,Australia,Australia,India,False
Perth,"Jan 18, 1986",New Zealand,Australia,India,New Zealand,True
Perth,"Jan 19, 1986",Australia,Australia,Australia,New Zealand,False
Sydney,"Jan 21, 1986",Australia,Australia,Australia,India,False
Melbourne,"Jan 23, 1986",New Zealand,Australia,India,New Zealand,True
Adelaide,"Jan 25, 1986",India,Australia,India,New Zealand,True
Adelaide,"Jan 26, 1986",Australia,Australia,Australia,India,False
Adelaide,"Jan 27, 1986",New Zealand,Australia,Australia,New Zealand,False
Sydney,"Jan 29, 1986",Australia,Australia,Australia,New Zealand,False
Melbourne,"Jan 31, 1986",India,Australia,Australia,India,False
Launceston,"Feb 2, 1986",India,Australia,India,New Zealand,True
Sydney,"Feb 5, 1986",Australia,Australia,Australia,India,False
Melbourne,"Feb 9, 1986",Australia,Australia,Australia,India,False
Kingston,"Feb 18, 1986",West Indies,West Indies,West Indies,England,False
Kandy,"Mar 2, 1986",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Port of Spain,"Mar 4, 1986",England,West Indies,West Indies,England,False
Colombo,"Mar 11, 1986",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Dunedin,"Mar 19, 1986",New Zealand,New Zealand,New Zealand,Australia,False
Bridgetown,"Mar 19, 1986",West Indies,West Indies,West Indies,England,False
Christchurch,"Mar 22, 1986",New Zealand,New Zealand,New Zealand,Australia,False
Wellington,"Mar 26, 1986",Australia,New Zealand,New Zealand,Australia,False
Auckland,"Mar 29, 1986",Australia,New Zealand,New Zealand,Australia,False
Colombo,"Mar 30, 1986",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Moratuwa,"Mar 31, 1986",Pakistan,Sri Lanka,Bangladesh,Pakistan,True
Port of Spain,"Mar 31, 1986",West Indies,West Indies,West Indies,England,False
Kandy,"Apr 2, 1986",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Colombo,"Apr 5, 1986",New Zealand,Sri Lanka,Sri Lanka,New Zealand,False
Colombo,"Apr 6, 1986",Sri Lanka,Sri Lanka,Sri Lanka,Pakistan,False
Colombo,"Apr 7, 1986",Pakistan,Sri Lanka,New Zealand,Pakistan,True
Sharjah,"Apr 10, 1986",India,U.A.E.,India,New Zealand,True
Sharjah,"Apr 11, 1986",Pakistan,U.A.E.,Australia,Pakistan,True
Sharjah,"Apr 13, 1986",India,U.A.E.,India,Sri Lanka,True
Sharjah,"Apr 15, 1986",Pakistan,U.A.E.,New Zealand,Pakistan,True
Sharjah,"Apr 18, 1986",Pakistan,U.A.E.,India,Pakistan,True
The Oval,"May 24, 1986",India,England,England,India,False
Manchester,"May 26, 1986",England,England,England,India,False
Leeds,"Jul 16, 1986",New Zealand,England,England,New Zealand,False
Manchester,"Jul 18, 1986",England,England,England,New Zealand,False
Jaipur,"Sep 7, 1986",India,India,India,Australia,False
Srinagar,"Sep 9, 1986",Australia,India,India,Australia,False
Delhi,"Oct 2, 1986",India,India,India,Australia,False
Ahmedabad,"Oct 5, 1986",India,India,India,Australia,False
Rajkot,"Oct 7, 1986",Australia,India,India,Australia,False
Peshawar,"Oct 17, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Gujranwala,"Nov 4, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Sialkot,"Nov 14, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Multan,"Nov 17, 1986",West Indies,Pakistan,Pakistan,West Indies,False
Hyderabad,"Nov 18, 1986",Pakistan,India,Pakistan,West Indies,True
Sharjah,"Nov 27, 1986",India,U.A.E.,India,Sri Lanka,True
Sharjah,"Nov 28, 1986",West Indies,U.A.E.,Pakistan,West Indies,True
Sharjah,"Nov 30, 1986",West Indies,U.A.E.,India,West Indies,True
Sharjah,"Dec 2, 1986",Pakistan,U.A.E.,Pakistan,Sri Lanka,True
Sharjah,"Dec 3, 1986",West Indies,U.A.E.,Sri Lanka,West Indies,True
Sharjah,"Dec 5, 1986",Pakistan,U.A.E.,India,Pakistan,True
Kanpur,"Dec 24, 1986",Sri Lanka,India,India,Sri Lanka,False
Perth,"Dec 30, 1986",Pakistan,Australia,Pakistan,West Indies,True
