"Agency","Agency.Type","Distribution.Channel","Product.Name","Claim","Duration","Destination","Net.Sales","Commision..in.value.","Gender","Age"
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","Yes",105,"UNITED KINGDOM",39.6,23.76,"",32
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",34,"AUSTRALIA",59.4,35.64,"",35
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",53,"PHILIPPINES",20,0,"",26
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",39,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",9,"INDONESIA",20,0,"",51
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",21,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",52,"PHILIPPINES",34,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",46,"THAILAND",24,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",202,"SPAIN",76,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",103,"KOREA, REPUBLIC OF",56,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","Yes",9,"CHINA",87,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",10,"CHINA",68,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",34,"AUSTRALIA",62,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",7,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",38,"UNITED STATES",10,0,"",42
"EPX","Travel Agency","Online","Cancellation Plan","No",22,"MALAYSIA",11,0,"",45
"EPX","Travel Agency","Online","Cancellation Plan","No",24,"SINGAPORE",60,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",10,"INDIA",45,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",28,"INDIA",25,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",123,"MALAYSIA",26,0,"",28
"EPX","Travel Agency","Online","Cancellation Plan","No",54,"CANADA",10,0,"",22
"EPX","Travel Agency","Online","Cancellation Plan","No",277,"CANADA",80,0,"",29
"EPX","Travel Agency","Online","Cancellation Plan","No",15,"SINGAPORE",80,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",26,"PHILIPPINES",19,0,"",29
"EPX","Travel Agency","Online","Cancellation Plan","No",81,"JAPAN",36,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"VIET NAM",10,0,"",58
"EPX","Travel Agency","Online","Cancellation Plan","No",123,"SINGAPORE",49,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",18,"VIET NAM",0,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"THAILAND",27,0,"",36
"JWT","Airlines","Online","Value Plan","No",18,"INDIA",0,28.8,"M",118
"KML","Travel Agency","Online","Value Plan","No",38,"NETHERLANDS",75,28.5,"M",48
"RAB","Airlines","Online","Value Plan","No",15,"BRUNEI DARUSSALAM",15,6,"",45
"SSI","Airlines","Online","Ticket Protector","No",78,"SINGAPORE",8.49,2.38,"",48
"JZI","Airlines","Online","Basic Plan","No",97,"JAPAN",44,15.4,"F",20
"JZI","Airlines","Online","Basic Plan","No",13,"MYANMAR",33,11.55,"M",63
"JZI","Airlines","Online","Basic Plan","No",7,"THAILAND",22,7.7,"F",35
"JZI","Airlines","Online","Basic Plan","No",118,"THAILAND",22,7.7,"F",34
"JZI","Airlines","Online","Basic Plan","No",73,"CHINA",26,9.1,"M",41
"JZI","Airlines","Online","Basic Plan","No",22,"THAILAND",30,10.5,"M",60
"JZI","Airlines","Online","Value Plan","No",15,"HONG KONG",69,24.15,"M",41
"C2B","Airlines","Online","Bronze Plan","No",100,"SINGAPORE",202,50.5,"M",34
"C2B","Airlines","Online","Bronze Plan","No",7,"SINGAPORE",23.4,5.85,"F",30
"C2B","Airlines","Online","Bronze Plan","No",8,"SINGAPORE",17.55,4.39,"M",29
"C2B","Airlines","Online","Silver Plan","Yes",16,"SINGAPORE",74.25,18.56,"M",27
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",8,"UNITED STATES",19.8,11.88,"",52
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",95,"THAILAND",29.7,17.82,"",60
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",8,"AUSTRALIA",29.7,17.82,"",57
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",10,"NETHERLANDS",112,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",12,"CHINA",36,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","Yes",56,"GERMANY",145,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",5,"CHINA",74,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",18,"MYANMAR",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",7,"KOREA, REPUBLIC OF",86,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",63,"NEW ZEALAND",75,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",18,"MYANMAR",20,0,"",39
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",69,"VIET NAM",28,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",34,"NEW ZEALAND",94,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",35,"INDIA",37,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",8,"THAILAND",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",10,"CHINA",0,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",50,"SINGAPORE",0,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"CHINA",32,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"MALAYSIA",10,0,"",28
"EPX","Travel Agency","Online","Cancellation Plan","No",12,"MALAYSIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",25,"UNITED STATES",80,0,"",32
"EPX","Travel Agency","Online","Cancellation Plan","No",1,"CHINA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",18,"INDIA",80,0,"",67
"EPX","Travel Agency","Online","Cancellation Plan","No",23,"MALAYSIA",10,0,"",33
"EPX","Travel Agency","Online","Cancellation Plan","No",31,"SINGAPORE",16,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",3,"AUSTRALIA",19,0,"",61
"EPX","Travel Agency","Online","Cancellation Plan","No",59,"NETHERLANDS",52,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"MALAYSIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"HONG KONG",17,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",12,"HONG KONG",19,0,"",59
"EPX","Travel Agency","Online","Cancellation Plan","No",8,"KOREA, REPUBLIC OF",59,0,"",23
"EPX","Travel Agency","Online","Cancellation Plan","No",39,"THAILAND",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",23,"UNITED STATES",68,0,"",26
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"SINGAPORE",12,0,"",28
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"INDONESIA",19,0,"",53
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",3,"SINGAPORE",65,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",9,"THAILAND",20,0,"",36
"JWT","Airlines","Online","Value Plan","No",15,"INDIA",60,24,"M",118
"JWT","Airlines","Online","Value Plan","No",25,"INDIA",31,12.4,"M",118
"RAB","Airlines","Online","Value Plan","No",8,"BRUNEI DARUSSALAM",15,6,"M",47
"JZI","Airlines","Online","Basic Plan","No",9,"TAIWAN, PROVINCE OF CHINA",26,9.1,"F",41
"JZI","Airlines","Online","Basic Plan","No",9,"MACAO",22,7.7,"M",70
"JZI","Airlines","Online","Basic Plan","No",8,"MALAYSIA",0,6.3,"M",29
"JZI","Airlines","Online","Basic Plan","No",178,"INDONESIA",30,10.5,"F",45
"JZI","Airlines","Online","Basic Plan","No",8,"THAILAND",18,6.3,"M",65
"JZI","Airlines","Online","Basic Plan","No",1,"THAILAND",18,6.3,"F",25
"JZI","Airlines","Online","Value Plan","No",12,"KOREA, REPUBLIC OF",58,20.3,"M",43
"CSR","Travel Agency","Offline","Comprehensive Plan","No",35,"THAILAND",29,9.57,"M",26
"JZI","Airlines","Online","Basic Plan","No",33,"MALAYSIA",33,11.55,"",118
"ART","Airlines","Online","24 Protect","No",3,"PHILIPPINES",0,8.56,"F",48
"C2B","Airlines","Online","Bronze Plan","No",86,"SINGAPORE",74.9,18.73,"F",32
"C2B","Airlines","Online","Bronze Plan","No",15,"SINGAPORE",69,17.25,"M",30
"C2B","Airlines","Online","Gold Plan","No",9,"SINGAPORE",89.25,22.31,"F",28
"C2B","Airlines","Online","Annual Silver Plan","Yes",364,"SINGAPORE",252.85,63.21,"M",30
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",8,"MALAYSIA",39.6,23.76,"",35
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",86,"AUSTRALIA",49.5,29.7,"",35
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",99,"AUSTRALIA",69.3,41.58,"",36
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",2,"SINGAPORE",19.8,11.88,"",46
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",35,"MALAYSIA",29.7,17.82,"",51
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",150,"AUSTRALIA",99,59.4,"",42
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",2,"UNITED STATES",19.8,11.88,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",325,"AUSTRALIA",99,59.4,"",44
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",31,"CHINA",45,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",149,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",11,"JAPAN",42,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",51,"SINGAPORE",20,0,"",51
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",149,"MALAYSIA",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",10,"VIET NAM",28,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",20,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",23,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",40,"SINGAPORE",44,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",19,"PHILIPPINES",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",51,"UNITED STATES",112,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",85,"SINGAPORE",95,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",17,"INDONESIA",47,0,"",56
"EPX","Travel Agency","Online","Cancellation Plan","No",68,"PHILIPPINES",72,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",24,"THAILAND",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",108,"NEPAL",18,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",212,"INDONESIA",34,0,"",31
"EPX","Travel Agency","Online","Cancellation Plan","No",276,"CZECH REPUBLIC",80,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",52,"SINGAPORE",11,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",46,"GERMANY",51,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",1,"INDONESIA",10,0,"",23
"EPX","Travel Agency","Online","Cancellation Plan","No",35,"TAIWAN, PROVINCE OF CHINA",10,0,"",24
"EPX","Travel Agency","Online","Cancellation Plan","No",38,"CHINA",19,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",26,"FRANCE",64,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",50,"CHINA",27,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",19,"CHILE",80,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"MALAYSIA",26,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"THAILAND",23,0,"",38
"EPX","Travel Agency","Online","Cancellation Plan","No",19,"JAPAN",34,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",21,"SINGAPORE",20,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",8,"INDIA",20,0,"",36
"JWT","Airlines","Online","Value Plan","No",21,"INDIA",31,12.4,"M",118
"RAB","Airlines","Online","Value Plan","No",29,"BRUNEI DARUSSALAM",23,9.2,"M",52
"JZI","Airlines","Online","Basic Plan","No",38,"THAILAND",22,7.7,"M",43
"JZI","Airlines","Online","Basic Plan","No",17,"INDIA",22,7.7,"M",46
"JZI","Airlines","Online","Basic Plan","No",155,"PHILIPPINES",37,12.95,"F",34
"JZI","Airlines","Online","Basic Plan","No",11,"THAILAND",22,7.7,"F",37
"JZI","Airlines","Online","Basic Plan","No",10,"MALAYSIA",30,10.5,"M",45
"JZI","Airlines","Online","Basic Plan","No",8,"MALAYSIA",18,6.3,"M",40
"JZI","Airlines","Online","Basic Plan","No",2,"THAILAND",18,6.3,"F",27
"JZI","Airlines","Online","Value Plan","No",65,"UNITED STATES",96,33.6,"F",39
"JZI","Airlines","Online","Value Plan","No",20,"AUSTRALIA",45,15.75,"F",40
"SSI","Airlines","Offline","Ticket Protector","No",18,"SINGAPORE",16.91,4.74,"",118
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",37,"MALAYSIA",39.6,23.76,"",53
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",93,"ITALY",29.7,17.82,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",72,"NORWAY",59.4,35.64,"",29
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",328,"AUSTRALIA",59.4,35.64,"",40
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",22,"MALAYSIA",29.7,17.82,"",42
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",37,"THAILAND",21,0,"",36
